category,question,answer
Family,Will my family and I qualify for the same program?,"Depending on your household size or family income, you or your family may qualify for different programs. For example, you may qualify for affordable private health insurance available through Covered California. However, your child may qualify for free Medi-Cal. We will tell you which health insurance you and other members qualify for."
Family,I just found out I am pregnant. Can I apply for health insurance that will cover me during my pregnancy?,"Yes. Make sure to answer yes to the application question “Are you pregnant?” or tell the person helping you to fill out your application. You can apply for health insurance that can cover pre-natal care, labor and delivery, and postpartum care. Health insurance plans can no longer deny health insurance if you are pregnant."
Family,I just had a new baby. What should I do about health insurance?,"If you did not have Medi-Cal or the Medi-Cal Access Program at the time of delivery, fill out this application for your newborn. If you did have Medi-Cal or the Medi-Cal Access Program during your pregnancy, you do not need to fill out this application. Call your county worker to make sure your baby is covered from birth, or fill out a newborn referral form. Print the MC 330 form . If you had coverage under the Medi-Cal Access Program download an Infant Registration Form , or call (800) 433-2611."
Citizenship/Immigration,What eligibility requirements will an undocumented person have to meet come 2014?,"An undocumented person must meet the same eligibility requirements as any other beneficiary such as income limits and California residency in 2014.
2 . Does everyone on the application have to be a U.S. citizen or U.S. national?
No. You may qualify for health insurance through Medi-Cal even if you are not a U.S. citizen or a U.S. national.
3 . Will I qualify for health insurance if I am not a citizen or do not have satisfactory immigration status?
You do not have to be a citizen or have satisfactory immigration status to qualify for Medi-Cal. You may qualify for Medi-Cal coverage of emergency and pregnancy-related services if you meet all of the eligibility requirements but do not have a satisfactory immigration status. Immigrants who have a satisfactory immigration status and meet all eligibility requirements can qualify for full Medi-Cal coverage.
4 . Will undocumented immigrants be eligible for full-scope Medi-Cal?
An immigrant who meets all eligibility requirements, but is not in a satisfactory immigration status for full scope Medi-Cal is entitled to emergency and pregnancy-related services and, when needed, state-funded long-term care."
Citizenship/Immigration,Where can I get information about becoming registered to vote?,If you are not registered to vote where you live now and would like to apply to register to vote today please visit this website or call 1-800-345-VOTE (8683).
Citizenship/Immigration,Will the information I provide for health coverage be used to verify my immigration status?,Immigration status is verified for documented immigrants who want Medi-Cal and claim to be in a satisfactory immigration status for full scope Medi-Cal. This information is only used to verify status for Medi-Cal eligibility purposes.
Citizenship/Immigration,"Can people on H-1 visas, including those who have lived legally in the country for fewer than 5 years, enroll in Medi-Cal?","Yes. In general, anyone can apply for Medi-Cal. A person on an H1 visa is a temporary worker or trainee. As long as they are living and working in California and provide evidence of that, they can meet California residency. If they meet all other eligibility requirements, they will be eligible for restricted scope Medi-Cal limited to emergency and pregnancy related services. It does not matter how long they have lived in the United States. If they meet all eligibility requirements they will be eligible for restricted scope Medi-Cal."
Citizenship/Immigration,"Can green card holders, including those who have lived legally in the US for fewer than 5 years, enroll in Medi-Cal?","Yes. A lawful permanent resident (green card holder) is eligible for Medi-Cal regardless of their date of entry if they meet all other eligibility requirements. Under current Medi-Cal policy, eligible green card holders get full scope Medi-Cal in California even if they have been in the United States for less than 5 years."
Financial Assistance,Can I get health insurance even if my income is too high?,Yes. Any Californian who qualifies can purchase private health insurance through Covered California regardless of income. We use your income to help us find the health insurance that is most affordable for your family.
Financial Assistance,I don't make a lot of money. What programs are available to help me get health insurance?,"Starting on January 1, 2014, people who need health insurance may be able to get help in one of these ways:
Premium assistance: Premium assistance is available to help make health insurance affordable. People who qualify for premium assistance may take them in advance (before they file taxes) to make their monthly premiums lower. Or they can take them at the end of the year and pay less in taxes. The amount of assistance for monthly premiums depends upon your household size and family income. Medi-Cal: Medi-Cal is California’s Medicaid program, paid for with federal and state taxes. It’s health insurance for low-income California residents who meet certain requirements. If your income is within the Medi-Cal limits for your family size, you will receive Medi-Cal coverage at no cost to you."
Financial Assistance,"If my income changes, will my premium assistance change immediately?","No, your premium assistance will not change immediately. We will process any new information we have. And, we will tell you if the amount of your premium assistance changes."
Financial Assistance,"If my income changes, how will the change affect me when I file my taxes?","It is important to report income changes to Covered California that impact the amount of premium assistance (or tax credits) that you receive. If your income decreases, you may qualify to receive a higher amount of premium assistance and reduce your out-of-pocket expenses even more. However, if your income increases, you may receive too much premium assistance and may be required to repay some of it back when you file your taxes for the benefit year."
Financial Assistance,What if I didn’t file taxes last year?,"If you didn't file taxes last year, you can still apply for health insurance and get premium assistance. We will use your income to help us find the health insurance that is most affordable for you and your family. If you qualify for premium assistance, you must file taxes for the benefit year."
Financial Assistance,What if my income changes after I apply for health coverage?,"If your income changes, it may change what kind of health insurance you qualify for. If you have private health insurance through Covered California, call to report any change in your income that may affect your eligibility within 30 days. If you have Medi-Cal and your income changes, contact your county social services office within 10 days."
Financial Assistance,"If an adult is claimed as a tax dependent by their parents, will their parents income count towards the dependent adult’s income for eligibility?",Yes. The adult who expects to be claimed as a tax dependent by his/her parents will have his parents income counted when determining income eligibility under the MAGI methodology. Federal regulatory reference is 42 CFR 435.603(f)(2).
Covered California,What is Covered California?,"Covered California is the new marketplace that makes it possible for individuals and families to get free or low- cost health insurance through Medi-Cal, or to get help paying for private health insurance. Our goal is to make it simple and affordable for Californians to get health insurance. Covered California is a partnership of the California Health Benefit Exchange and the California Department of Health Care Services."
Covered California,How can Covered California help me?,"Covered California can help you choose a private insurance plan that meets your health needs and budget. We offer some of the state’s best known health plans, and some regional or local plans too. We can explain the costs and benefits of health insurance plans clearly, so you can compare the different choices available to you. You will know exactly what you’re getting and how much you have to pay before you choose your plan."
Covered California,I am a federally recognized American Indian or an Alaska Native. How can Covered California help me?,"If you are a federally recognized American Indian or an Alaska Native, you may be eligible for:
Free or low-cost insurance Premium assistance Reduced out-of-pocket expenses Special monthly enrollment periods
You can also get services from Indian Health Services’ funded tribal health programs or Indian health programs.
Be sure to complete Attachment A and send it to it with your proof of Native American or Alaska Native heritage document. You may use the following documents to provide proof of your Native American Indian or Native Alaskan heritage:
Tribal enrollment card or Certificate of degree of Indian blood (CDIB) from the Bureau of Indian Affairs."
Covered California,Can I get health insurance through Covered California?,"Applicants may qualify for a free or low-cost health plan, or for financial help that can lower the cost of premiums and co-pays. The amount of financial help is based on household size and family income. Applicants qualify if their income meets the income limits."
Covered California,When will I be able to get coverage through Covered California?,"Covered California will begin enrollment on Oct. 1, 2013, for coverage that will take effect Jan. 1, 2014. The open-enrollment period for coverage during 2014 will run from Oct. 1, 2013, to March 31, 2014. If you are eligible for Medi-Cal, the open enrollment period does not matter."
Covered California,I am currently enrolled in Medi-Cal. Can I get health insurance through Covered California?,"If your income changes during the year or at your annual renewal, you may qualify for other health insurance and premium assistance through Covered California."
Covered California,How do I apply through Covered California?,"You can apply for health insurance through Covered California in the following ways:
Online: Visit www.CoveredCA.com . We provide information about each health insurance plan, explained in clear and simple terms. By phone: Call Covered California at (800) 300-1506 (TTY: (888) 889-4500). You can call Monday through Friday, 8 a.m. to 6 p.m. and Saturday, 8 a.m. to 5 p.m. The call is free! By fax: Fax your application to (888) 329-3700. By mail: Mail the Covered California application to:
Covered California P.O. Box 989725 West Sacramento, CA 95798-9725
In person: We have trained Certified Enrollment Counselors or Certified Insurance Agents who can help you. Or you can visit your county social services office. This help is free! For a list of places near where you live or work, visit www.CoveredCA.com or call (800) 300-1506 (TTY: (888) 889-4500)."
Covered California,What will happen after I apply for health coverage?,"You will receive a letter within 45 days to tell you which program you and your family members qualify for. If you don't hear from us, please call us at (800) 300-1506 (TTY: (888) 889-4500)."
Covered California,What health insurance is offered through Covered California?,"You will have a wide variety of health plans to choose from. Health insurance companies cannot refuse to cover you because you have been sick before or could not get coverage. Covered California offers four groups of private health insurance plans: platinum, gold, silver, and bronze, plus a minimum coverage plan. Each group offers a different level of coverage, from high to low. Health insurance plans that cover more of your medical expenses will usually have a higher premium but allow you to pay less when you receive medical care. Platinum plans have the highest premium, but they pay 90% of your health care expenses. Gold plans pay pay 80% and silver plans pay 70% of your health care expenses. Bronze plans have the lowest premium but pay just 60% of covered health expenses. If you qualify for Medi-Cal, the coverage and costs are different and may be free for you."
Covered California,I have a pre-existing condition. Can I get health insurance through Covered California?,"Yes, you can get health insurance regardless of any current or past health conditions. Starting in 2014, most health insurance plans can’t refuse to cover you or charge you more just because you have a pre-existing health condition."
Covered California,I have a disability. Can I get health insurance through Covered California?,"You cannot be denied based on a pre-existing condition. Eligibility is based on income, not health status."
Covered California,Will I be able to use my new Covered California health insurance plan right away?,"Covered California health plans start providing services on January 1, 2014."
Covered California,"When someone enrolls in a health insurance plan during open enrollment but after Jan. 1, 2014, will the effective date be Jan. 1, or is it subject to the actual enrollment date?","If you enroll in a Covered California plan before Dec. 15, 2013, you can be eligible to have coverage that starts on Jan. 1, 2014. You will also need to pay your share of the premium before January. During the last three months of the initial Covered California open-enrollment period (from Jan. 1, 2014, through March 31, 2014), an individual who submits a completed application, receives an eligibility determination and makes a plan selection by the 15th of each month will receive a coverage-effective date of the first day of the following month, as long as the person's full premium payment is received. For example, someone who has enrolled in a Covered California health insurance plan by Jan. 15, 2014, will have coverage beginning Feb. 1, 2014 if they pay their share of premium."
Covered California,What is the difference between Medicare and Covered California's open enrollment?,"Currently, there are two open enrollment periods happening during the same period of time, which may be causing some confusion among California residents.
Covered California
The Covered California exchange will permit individuals to enroll in health plan coverage or Medi-Cal during the initial enrollment period from October 1, 2013, to March 31, 2014, and thereafter during an open enrollment period that will begin on October 15 and last through December 7 annually. People who want to enroll in a health plan or find out if they are newly eligible for Medi-Cal, can call Covered California at (800) 300-1506 or visit www.CoveredCA.com for information.
Medicare Open Enrollment
Medicare’s open enrollment period is October 15 through December 7 for all people with Medicare. Medicare clients can change their Medicare health plan and prescription drug coverage, which will take effect January 1, 2014. People with Medicare can call (800) MEDICARE or visit www.medicare.gov for plan information. If the person is satisfied with their current plan, they do not need to do anything."
